from_node,to_node,distance
22,39,0.57080321999999994
32,37,0.57133765
18,28,0.57205922
12,29,0.57279935
17,34,0.57364901
7,30,0.57536504
3,24,0.57856548
8,17,0.57985492
20,27,0.58078999
13,28,0.58123639
27,31,0.5840753
29,32,0.58641377
9,23,0.58755011
3,21,0.58791519
4,33,0.58807997
10,24,0.58813725
4,19,0.59246598
19,29,0.59679449
13,20,0.59745565
11,21,0.59863194
21,26,0.59924818
18,38,0.59926114
4,34,0.60186433
32,38,0.60257593
21,25,0.60261891
3,34,0.60296362
6,33,0.60298823
11,20,0.60301537
13,29,0.60371988
9,19,0.60550678
16,38,0.60604348
1,26,0.60622597
6,16,0.60708307
5,16,0.60739932
6,36,0.60792201
8,16,0.60850327
21,29,0.61025675
14,37,0.6104122
14,26,0.6139484
18,35,0.61605495
25,36,0.61846313
8,30,0.61898351
4,24,0.6191066
28,32,0.62139435
9,12,0.62168336
24,27,0.6223639
16,29,0.62375975
10,22,0.62482701
2,22,0.62495139
4,27,0.6265643
12,16,0.62828478
7,36,0.62845435
4,23,0.62863555
9,30,0.6295023
1,37,0.63094094
12,39,0.63432103
8,20,0.63461255
2,34,0.63477893
11,23,0.63551832
9,31,0.6364303
28,31,0.6368497
13,21,0.63960757
15,31,0.64111148
22,38,0.64189123
29,35,0.64202308
5,37,0.64287909
13,23,0.64759527
15,26,0.64779217
14,22,0.64832989
7,37,0.65241766
10,35,0.65287144
8,34,0.65656441
1,35,0.65694232
25,39,0.65821664
4,37,0.65836848
8,25,0.65936378
27,39,0.66372044
3,28,0.66431996
2,35,0.66490034
10,34,0.6674962
13,24,0.66767751
11,24,0.66864019
26,35,0.66983408
12,38,0.66999418
3,29,0.67025959
5,20,0.67036334
19,28,0.67036902
5,33,0.67079655
20,25,0.67145279
30,34,0.67156377
9,33,0.67271613
12,36,0.67274902
6,28,0.67361973
7,16,0.67450762
5,27,0.67456744
13,38,0.67678442
23,25,0.67932049
4,21,0.68117759
31,33,0.68313866
16,28,0.68412117
31,39,0.68499271
35,39,0.6870599
6,19,0.68708607
9,21,0.68770407
12,19,0.68955772
16,37,0.68966751
3,22,0.69209673
21,28,0.69415736
29,31,0.6981431
4,26,0.69845282
5,19,0.70106836
8,24,0.70321227
23,38,0.70325252
26,36,0.7034828
8,19,0.70765247
22,29,0.70810721
6,20,0.70913282
22,26,0.70913315
13,34,0.70976542
15,37,0.7100722
6,29,0.71145173
23,26,0.71191039
19,37,0.71227518
1,29,0.71318856
9,25,0.71411014
11,22,0.71530886
7,27,0.71596654
25,35,0.71648891
22,25,0.7203047
8,33,0.72116515
5,26,0.72147598
8,23,0.7244928
3,38,0.72685412
7,33,0.72715317
5,34,0.72769033
24,25,0.72797945
20,26,0.72979502
14,35,0.73121038
1,28,0.73124199
14,29,0.73140218
16,31,0.73219711
15,29,0.73535991
11,34,0.73668077
14,28,0.73750201
7,20,0.74045026
28,35,0.74140832
5,24,0.7423851
23,29,0.74403831
11,35,0.74409187
1,38,0.74446302
15,38,0.74541638
5,23,0.74827567
27,34,0.74951959
7,26,0.75035663
13,22,0.7514726
9,22,0.75260696
20,38,0.75346531
31,36,0.75523045
12,20,0.75820744
3,35,0.75909201
21,37,0.7638354
8,27,0.76428941
36,38,0.76475854
12,21,0.76539756
7,19,0.76696618
9,27,0.76795409
6,23,0.76831447
15,28,0.77162077
6,21,0.77175072
4,22,0.77301236
29,36,0.77313836
24,26,0.77370082
14,38,0.7747503
24,38,0.77656707
8,37,0.77829948
20,29,0.7798474
6,24,0.78094806
26,39,0.78443941
5,21,0.7897222
36,37,0.79267013
6,38,0.79491515
8,21,0.79543439
7,34,0.79738532
12,23,0.79757168
22,28,0.79791506
31,38,0.79905712
13,35,0.7997456
19,31,0.80156552
6,34,0.80389592
7,24,0.81253308
24,29,0.81303868
7,23,0.81756891
23,28,0.81801808
4,28,0.81813375
37,39,0.82266764
28,36,0.82352437
25,34,0.82510926
4,29,0.82531324
12,24,0.82613118
8,26,0.83270687
5,28,0.83367566
20,28,0.84347853
20,37,0.84563883
20,31,0.84993275
23,37,0.85031605
7,21,0.85542267
5,29,0.8569888
7,28,0.85760324
4,35,0.85904618
9,37,0.8604802
35,37,0.86125974
9,35,0.86513504
9,26,0.86703847
8,22,0.87884064
22,37,0.87992743
4,38,0.87993285
29,39,0.8800059
12,34,0.88054952
21,31,0.88109011
6,22,0.88146256
12,22,0.88194951
24,28,0.88324197
5,22,0.88691226
7,29,0.88890566
38,39,0.8952009
26,34,0.89664269
23,31,0.89921702
24,37,0.90113644
28,39,0.90932172
12,35,0.90951937
24,31,0.92027154
34,38,0.92508319
5,38,0.92605511
6,35,0.93482101
8,28,0.95075273
29,34,0.95113451
7,22,0.95433182
31,34,0.95711988
8,29,0.96155441
7,38,0.96455681
5,35,0.96504354
8,35,0.9748006
9,29,0.9801099
9,28,0.99115085
22,31,0.99582557
34,37,0.99969006
28,34,1.01243003
9,38,1.01396743
8,38,1.01769795
7,35,1.02953009
31,35,1.03178872
