Brnch #,From bus,To bus,From bus injection P (MW),From bus injection Q (MVAr),To bus injection P (MW),To bus injection Q (MVAr),Loss (I^2*Z) P (MW),Loss (I^2*Z) Q (MVAr)
131,84,85,-26.59,-0.56,26.79,-0.37,0.196,0.42
132,85,86,17.48,-1.04,-17.39,-1.64,0.097,0.34
133,86,87,-3.61,-8.36,3.63,3.54,0.013,0.09
134,85,88,-37.53,8.98,37.8,-10.62,0.275,1.4
135,85,89,-58.38,2.42,59.12,-2.27,0.744,5.38
136,88,89,-85.8,0.62,86.73,2,0.932,4.77
137,89,90,54.8,-5.17,-53.42,4.38,1.387,5.03
138,89,90,104.35,-6.55,-102.04,4.51,2.306,9.66
139,90,91,-7.54,-3.67,7.56,1.39,0.015,0.05
140,89,92,149.67,-6.3,-147.69,10.28,1.975,10.07
141,89,92,47.17,-5.71,-46.38,4.25,0.782,3.15
142,91,92,-17.56,0.17,17.67,-3.39,0.11,0.36
143,92,93,38.07,0.14,-37.73,-1.41,0.34,1.12
144,92,94,32.52,-3.31,-32.06,0.4,0.462,1.52
145,93,94,25.73,-5.59,-25.59,4.03,0.141,0.46
146,94,95,36.7,15.06,-36.5,-15.6,0.195,0.64
147,80,96,25.87,6.93,-25.63,-11.12,0.242,1.24
148,82,96,-14.93,6.09,14.97,-11.79,0.046,0.15
149,94,96,14.99,-2.88,-14.93,0.6,0.057,0.18
150,80,97,33.22,11.59,-33.01,-13.34,0.207,1.06
151,80,98,28.62,0.39,-28.45,-2.79,0.174,0.79
152,80,99,19.28,-3.9,-19.13,-1.52,0.15,0.68
153,92,100,13.7,-8.32,-13.57,3.66,0.13,0.59
154,94,100,-24.03,-32.61,24.27,26.75,0.238,0.77
155,95,96,-5.5,-15.4,5.54,13.96,0.04,0.13
156,96,97,-17.95,-6.65,18.01,4.34,0.057,0.29
157,98,100,-5.55,-5.21,5.56,-0.03,0.013,0.06
158,99,100,-22.87,-1.66,22.96,-0.37,0.085,0.38
159,100,101,0.12,11.27,-0.08,-14.7,0.042,0.19
160,92,102,27.11,-0.65,-27.03,-0.59,0.082,0.37
161,101,102,-21.92,-0.3,22.03,-2.41,0.109,0.5
162,100,103,73.36,-9.8,-72.58,6.38,0.775,2.54
163,100,104,39.69,-2.14,-39.05,-0.96,0.634,2.87
164,103,104,25.57,-3.45,-25.3,-0.07,0.276,0.94
165,103,105,30.7,-4.47,-30.24,1.4,0.459,1.39
166,100,106,41.9,-1.57,-40.95,-1.62,0.95,3.6
167,104,105,26.35,-1.09,-26.29,0.26,0.064,0.24
168,105,106,10.92,7.99,-10.9,-9.43,0.025,0.1
169,105,107,12.23,-2.46,-12.16,-2.37,0.073,0.25
170,105,108,7.54,-2.25,-7.52,0.3,0.014,0.04
171,106,107,8.85,-4.95,-8.81,0.04,0.042,0.14
172,108,109,5.52,-1.3,-5.52,0.49,0.003,0.01
173,103,110,31.56,-2.73,-31.2,-0.68,0.352,1.63
174,109,110,-2.48,-3.49,2.48,1.31,0.003,0.01
175,110,111,-34.99,-1.08,35.24,-0.25,0.248,0.85
176,110,112,31.75,-3.36,-31.52,-2.72,0.23,0.59
177,17,113,5.2,14.26,-5.18,-15.06,0.02,0.07
178,32,113,0.85,-10.41,-0.82,4.83,0.033,0.11
179,32,114,10.65,4.26,-10.63,-5.94,0.017,0.08
180,27,115,19.43,1.9,-19.37,-3.77,0.058,0.26
181,114,115,2.63,2.94,-2.63,-3.23,0,0
182,68,116,184.11,-21.95,-184,6.41,0.113,1.34
183,12,117,20.13,4.68,-20,-8,0.134,0.57
184,75,118,35.17,14.14,-34.97,-14.71,0.201,0.67
185,76,118,-1.97,-1.1,1.97,-0.29,0.001,0
