Bus,Voltage Mag(pu),Voltage Ang(deg),Generation P (MW),Generation Q (Mvar),Load P (MW),Load Q (MVAr),Lambda($/MVA-hr) P,Lambda($/MVA-hr) Q
323,1.009,-1.314,,,-14.9,26.5,42.74,0.294
324,1.001,-9.335,,,24.7,-1.2,45.75,-0.08
526,1.027,-14.897,,,145.3,-34.9,45.117,1.04
528,1.008,-15.253,,,28.1,-20.5,46.764,-0.28
531,0.998,-7.32,,,14,2.5,42.983,0.397
552,1.038,-1.946,,,-11.1,-1.4,40.99,0.014
562,1.016,-8.734,,,50.5,17.4,43.722,0.22
609,0.997,-6.974,,,29.6,0.6,43.786,0.293
664,1.042,4.008,,,-113.7,76.7,41.347,-0.338
1190,1.029,16.902,,,100.31,29.17,40.649,0.024
1200,1.044,5.724,,,-100,34.17,40.55,0.091
1201,1.025,-1.194,,,,,40.461,-0.028
2040,1.004,-3.295,,,,,42.653,0.48
7001,1.06,18.658,435.64,109.18,,,38.657,
7002,1.06,20.146,558.14,62.62,,,37.918,
7003,1.049,21.808,1141.57,420,,,38.869,0.256
7011,1.048,13.219,224.82,100,,,39.216,0.325
7012,1.06,19.675,355.42,179.85,,,39.109,
7017,1.035,3.262,387.99,266.08,,,43.515,
7023,1.059,13.77,166.29,0,,,37.978,-0.546
7024,1.032,20.09,384.34,81.03,,,38.748,
7039,1.026,15.141,516.19,49.13,,,40.648,
7044,0.998,1.223,39.92,16.13,,,41.576,
7049,1.033,0,72.62,10,,,41.452,0.236
7055,1.011,4.444,47.9,25,,,41.288,0.085
7057,1.007,8.795,159.24,39.86,,,39.302,
7061,1.06,12.085,375.84,141.3,,,38.792,
7062,1.038,16.216,379.81,150,,,38.991,0.204
7071,1.013,-3.016,137.59,76,,,43.723,
7130,1.06,26.528,1222.96,273.73,,,38.931,
7139,1.06,11.063,716.61,306.57,,,40.475,
7166,1.06,35.36,491.49,127.23,,,37.776,
9001,1.03,-0.291,,,,,41.351,0.131
9002,1.037,5.381,28.14,2,4.2,0,40.563,0.262
9003,1.006,-8.414,,,2.71,0.94,42.622,0.232
9004,0.999,-8.545,,,0.86,0.28,43.039,0.378
9005,1.031,-0.167,,,,,41.307,0.117
9006,1.024,-6.241,,,,,41.863,0.133
9007,1.013,-7.453,,,,,42.286,0.198
9012,1.034,3.607,,,,,41.019,0.237
9021,1.032,5.177,,,4.75,1.56,40.862,0.362
9022,1.009,2.809,,,1.53,0.53,41.437,0.402
9023,1.018,4.891,,,,,41.667,0.638
9024,1.014,3.016,,,1.35,0.47,41.123,0.299
9025,1.009,3.916,,,0.45,0.16,41.936,0.672
9026,1.01,3.998,,,0.45,0.16,41.913,0.669
9031,0.955,-13.521,,,1.84,0.64,43.928,0.416
9032,0.967,-12.387,,,1.39,0.48,43.629,0.364
9033,0.953,-13.821,,,1.89,0.65,44.012,0.445
9034,1.02,-9.774,,,1.55,0.54,42.796,0.004
9035,0.973,-11.763,,,1.66,0.58,43.461,0.313
9036,0.983,-11.265,,,3.03,1,43.063,0.402
9037,0.98,-11.196,,,1.86,0.64,43.278,0.273
9038,0.963,-12.945,,,2.58,0.89,43.702,0.344
9041,0.986,-9.983,,,1.01,0.35,43.386,0.401
9042,0.973,-11.096,,,0.81,0.28,43.857,0.512
9043,0.987,-10.078,,,1.6,0.52,43.283,0.464
9044,1.001,-8.507,,,,,42.896,0.328
9051,1.027,3.504,53.58,10.32,35.81,0,41.072,
9052,1.002,-5.841,,,30,23,41.734,0.517
9053,1.018,4.608,50.12,8.19,26.48,0,41.002,
9054,1.041,4.343,53.22,38,,,41.289,0.106
9055,1.033,3.66,8.52,6,,,41.291,0.108
9071,0.998,-9.165,,,1.02,0.35,42.679,0.22
9072,1.003,-8.634,,,1.02,0.35,42.558,0.21
9121,1.013,1.71,,,3.8,1.25,41.76,0.509
9533,1.059,4.11,,,1.19,0.41,41.002,-0.071
