Brnch #,From bus,To bus,From bus injection P (MW),From bus injection Q (MVAr),To bus injection P (MW),To bus injection Q (MVAr),Loss (I^2*Z) P (MW),Loss (I^2*Z) Q (MVAr)
133,77,552,-10.99,-4.15,11.1,1.4,0.109,0.33
134,77,609,30.29,0.23,-29.6,-0.6,0.689,1.87
135,78,79,112,11.74,-111.27,-10.24,0.722,2.65
136,78,84,-366.62,-71.12,366.62,118.7,0,47.58
137,79,211,-11.84,-3,11.98,-1.86,0.134,0.51
138,80,211,-31.13,-5.57,31.34,0.45,0.205,1
139,81,194,-83.21,-29.06,83.43,-28.29,0.217,2.05
140,81,195,0.54,-12.59,-0.53,-46.25,0.009,0.09
141,85,86,-73.57,-1.22,73.99,-8.62,0.423,3.38
142,86,87,-91.92,9.63,92.94,-20.63,1.021,7.91
143,86,323,-14.86,17.38,14.9,-26.5,0.041,0.33
144,89,91,-35.11,-0.67,35.64,0.49,0.536,1.36
145,90,92,-61.87,1.42,63,2.1,1.134,6.17
146,91,94,13.27,11.88,-12.95,-14.38,0.324,0.82
147,91,97,90.78,1.23,-89.15,0.19,1.627,5.69
148,92,103,74.77,4.96,-73.82,0.37,0.951,7.21
149,92,105,131.94,7.76,-129.29,5.23,2.644,14.31
150,94,97,5,-11.29,-4.71,7.23,0.293,0.45
151,97,100,36.72,-5.57,-36.44,5.5,0.281,0.68
152,97,102,35.78,-3.21,-35.32,3.04,0.454,1.1
153,97,103,-18.54,1.37,18.69,-2.59,0.155,0.4
154,98,100,-1.34,4.58,1.35,-5.31,0.006,0.02
155,98,102,10.5,3.24,-10.46,-4.69,0.04,0.14
156,99,107,-41.39,6.07,42.29,-5.53,0.907,2.31
157,99,108,-27.32,-4.23,27.33,4.05,0.015,0.03
158,99,109,21.83,-0.9,-21.62,-1.93,0.209,1.65
159,99,110,36.94,-2.25,-36.28,2.32,0.663,2.31
160,100,102,35.09,-0.19,-34.91,0.2,0.185,0.44
161,102,104,35.67,-17.59,-35.05,15.69,0.626,0.93
162,103,105,23.13,2.22,-23.03,-2.78,0.095,0.31
163,104,108,24.03,-10.25,-23.57,6.48,0.466,0.8
164,104,322,2.41,-5.44,-2.4,3.9,0.012,0.03
165,105,107,60.08,3.38,-59.68,-1.59,0.404,2.96
166,105,110,42.64,-5.82,-39.98,7.74,2.667,6.8
167,108,324,25.16,-2.56,-24.7,1.2,0.455,1.28
168,109,110,-4.98,2.33,5.01,-4.37,0.025,0.07
169,109,113,-9.16,3.14,9.26,-5.96,0.105,0.29
170,109,114,5.06,-3.53,-5.03,0.02,0.031,0.11
171,110,112,8.25,-5.69,-8.14,1,0.111,0.32
172,112,114,-11.46,-1,11.48,0.45,0.022,0.06
173,115,122,66.3,-73.95,-65.93,75.61,0.369,2.04
174,116,120,-67.63,63.06,67.79,-54.8,0.159,8.36
175,117,118,-524.14,293.04,524.53,-287.44,0.397,7.14
176,118,119,-611.9,-337.57,611.9,484.49,0,146.92
177,118,1201,26.96,-9.42,-26.96,15,0,5.58
178,1201,120,26.96,-15,-26.96,11.65,0,-3.35
179,118,121,46.3,-15.57,-46.24,23.29,0.058,7.72
180,119,120,717.83,347.97,-717.83,-155.98,0,192
181,119,121,555.06,184.42,-555.06,-7.22,0,177.2
182,122,123,17.45,-17.34,-16.99,15.74,0.458,1.33
183,122,125,15.82,-16.89,-15.37,13.06,0.444,1.69
184,123,124,-69.01,3.93,70.7,-11.16,1.694,5.06
185,123,125,8,-21.07,-7.89,5.78,0.112,0.33
186,125,126,-398.38,98.44,399.33,-67.26,0.949,31.17
187,126,127,-28.6,8.34,28.67,-33.58,0.072,0.5
188,126,129,-97.84,7.87,98.94,-16.46,1.096,10.54
189,126,132,-136.08,13.35,139.79,-15.1,3.71,31.63
190,126,157,-63.95,19.03,64.21,-50.16,0.26,2.6
191,126,158,-74.37,-2.88,74.8,-28.82,0.427,2.98
192,126,169,-56.39,16.45,57,-29.61,0.608,4.27
193,127,128,-151.11,12.3,152.45,-8.99,1.334,13.05
194,127,134,-107.9,-27.87,108.48,10.27,0.572,3.92
195,127,168,-150.45,12.15,151.78,-8.96,1.323,12.94
196,128,130,-227.77,9.31,231.72,16.66,3.954,39.19
197,128,133,75.32,-0.32,-75.18,-1.69,0.143,1.07
198,129,130,-223.31,9.44,227,14.25,3.691,36.52
199,129,133,124.37,7.02,-124.05,-7.3,0.316,2.8
200,130,132,262.41,60.72,-261.32,-52.32,1.087,11.15
201,130,151,161.75,70.61,-161.25,-68.52,0.498,4.83
202,130,167,268.6,57.33,-262.97,-13.77,5.63,56.52
203,130,168,228.98,16.72,-225.12,8.98,3.862,38.82
204,133,137,-542.27,-235,547.95,243.46,5.686,39.13
205,133,168,-73.2,-2.05,73.34,-0.02,0.136,1.01
206,133,169,94.31,49.96,-94.07,-50.9,0.237,2.1
207,133,171,720.39,196.07,-719.31,-141.1,1.089,54.97
208,134,135,-43.22,-4.28,43.3,-14.03,0.078,0.53
209,134,184,-65.26,-5.99,65.42,-19.42,0.161,1.57
210,135,136,-212.5,-27.57,216.42,12.91,3.929,26.9
211,136,137,50.64,-28.62,-50.35,-29.02,0.288,2.05
212,136,152,-322.27,-2.49,327.62,-66.72,5.358,37.32
213,137,140,349.21,-31.84,-347.55,13.39,1.668,12.68
214,137,181,-81.64,-97.86,81.71,96.04,0.073,0.5
215,137,186,-461.44,-53.02,462.81,68.57,1.37,29.55
216,137,188,-411.18,-62.52,411.97,65.56,0.787,5.35
217,139,172,22.52,-13.11,-22.21,5.92,0.318,1.27
218,140,141,-70.56,4.48,71.12,-14.03,0.56,3.9
219,140,142,-0.66,-12.12,0.75,-60.09,0.089,0.66
220,140,145,-11.99,-15.13,12.12,-38.7,0.137,0.98
221,140,146,-42.5,-20.51,43.22,-25.58,0.719,5.07
222,140,147,-56.42,-20.52,57.88,-28.7,1.459,10.42
223,140,182,141.98,-64.29,-141.7,53.15,0.279,1.91
224,141,146,-30.95,-18.5,31.2,-17.33,0.255,1.98
225,142,143,-225.74,-49.72,228.69,-3.87,2.954,28.06
226,143,145,114.15,34.91,-113.14,-37.03,1.013,10.44
227,143,149,-23.04,-21.35,23.13,7,0.084,0.6
228,145,146,-143.16,-59.94,145.13,64.26,1.967,13.61
229,145,149,-72.25,-31.37,73.45,15.81,1.203,8.34
230,146,147,-139.5,13.65,140.8,-13.01,1.293,8.93
231,148,178,102.35,47.06,-96.25,-36.72,6.097,17.79
232,148,179,49.14,5.8,-46.07,-4.9,3.07,8.78
233,152,153,-3.91,7.72,3.94,-23.14,0.032,0.22
234,153,161,109.5,-24.86,-108.89,7.29,0.613,3.21
235,154,156,-26.2,14.37,27.93,-15.04,1.739,3.15
236,154,183,-43.8,13.59,45.63,-10.95,1.824,6.93
237,155,161,-73.34,-16.99,73.89,-22.29,0.55,2.84
238,157,159,-384.36,13.07,385.54,-5.65,1.175,14.39
239,158,159,-105.22,40.68,105.6,-56.36,0.382,3.76
240,158,160,30.42,-11.86,-30.36,-16.28,0.059,0.4
241,162,164,402.06,54.1,-398.34,-28.25,3.723,50.58
242,162,165,-487.06,-78.1,491.05,-47.66,3.99,54.31
243,163,164,-166.55,-87.31,168.15,-279.09,1.601,18.7
244,165,166,-491.05,47.66,491.49,-20.35,0.444,27.31
245,167,169,-36.93,-81.93,37.07,80.51,0.145,1.44
246,172,173,26.79,2.46,-26.31,-5.41,0.477,3.45
247,172,174,-31.08,-8.38,31.62,7.13,0.536,2.12
248,173,174,-57.97,-3.96,60.74,10.25,2.771,11.44
249,173,175,-28.36,9.92,29.07,-11.11,0.716,2.98
250,173,176,-50.86,8.36,55.87,-1.65,5.006,13.96
251,175,176,-49.06,-8.13,51.36,12.38,2.306,9.25
252,175,179,11.67,-3.89,-11.56,-0.81,0.111,0.45
253,176,177,83.75,31.86,-81.92,-30.87,1.833,6.05
254,177,178,133.66,53.87,-129.12,-41.35,4.538,17.31
255,178,179,16.74,-20.69,-16.38,19.39,0.367,1.37
256,178,180,-218.77,-74.83,222.39,84.28,3.624,17.23
257,181,138,481.09,-31.47,-480.25,73.92,0.841,42.45
258,181,187,-636.2,-64.56,637.67,82.37,1.476,30.62
259,184,185,-202.22,2.82,203.2,-10.43,0.98,9.61
260,186,188,653.79,52.17,-651.11,-32.02,2.684,32.98
261,187,188,483.12,57.77,-481.64,-52.42,1.48,18.18
262,188,138,538.18,-24.72,-537.13,77.67,1.049,52.95
263,189,208,23.48,-3.62,-23.31,4.11,0.172,0.5
264,189,209,-11.63,3.72,11.7,-3.62,0.063,0.1
265,190,231,571.48,-525.63,-570.16,-150.33,1.311,7.21
266,190,240,-33.09,118.56,33.09,-114.77,0,3.79
267,191,192,776.36,286.93,-758.07,5.73,18.291,292.66
268,192,225,-41.93,-77.73,42.1,78.47,0.166,0.74
269,193,205,30.87,-0.77,-30.47,1.33,0.4,0.56
270,193,208,-4.55,1.1,4.56,-1.08,0.01,0.03
271,194,219,29.91,-13.92,-29.88,-41.73,0.03,0.28
272,194,664,-113.34,42.21,113.7,-76.7,0.358,5.29
273,195,219,-66.15,-33.03,66.27,-21.33,0.123,1.14
274,196,197,-61.45,-22.07,62.04,23.33,0.586,1.68
275,196,210,-17.02,-4.26,17.11,3.48,0.09,0.24
276,197,198,-94.88,-23.74,95.79,28.22,0.908,5.45
277,197,211,-10.16,-13.59,10.2,13.07,0.04,0.11
278,198,202,12.07,-1.18,-11.63,2.1,0.443,0.92
279,198,203,75.73,15.39,-75.24,-15.6,0.492,2.51
280,198,210,93.35,24.71,-91.65,-19.37,1.697,6.19
281,198,211,49.32,0.94,-48.56,-1.99,0.753,2.41
282,199,200,-2.36,-1.55,2.37,0.67,0.005,0.01
283,199,210,-32.64,-10.45,33.11,11.16,0.475,1.21
284,200,210,-22.18,-2.52,22.58,1.74,0.405,0.64
285,201,204,4.69,0.64,-4.66,-0.6,0.027,0.04
286,203,211,33.24,1.6,-33.14,-1.85,0.103,0.61
287,204,205,-25.63,-8.06,25.95,8.55,0.328,0.49
288,205,206,4.52,-4.88,-4.39,5.06,0.128,0.19
289,206,207,3.77,-12.74,-3.65,12.9,0.121,0.15
290,206,208,-11.39,5.68,11.75,-5.03,0.365,0.64
291,212,215,-58.11,35.04,58.75,-40.6,0.636,3.56
292,213,214,274.97,61.8,-273.19,-34.69,1.783,27.11
293,214,215,259.4,44.58,-258.29,-34.61,1.109,12.07
294,214,242,-8.21,-25.89,8.22,25.75,0.01,0.07
295,215,216,152.54,49.21,-151.42,-45.68,1.118,6.19
296,216,217,-24.58,-59.32,24.74,59.45,0.16,1.99
297,217,218,14.6,34.54,-14.6,-33.94,0,0.6
298,217,219,-101.43,-138.22,101.57,140.89,0.137,4.84
299,217,220,-37.91,-30.77,37.95,-56.75,0.041,0.6
300,219,237,-207.99,-101.03,208.2,-475.39,0.212,1.27
301,220,218,46.51,-2,-46.42,-41.68,0.091,1.19
302,220,221,67.39,-51.04,-67.34,-0.93,0.049,1.44
303,220,238,-328.63,18.3,330.29,-56.07,1.662,4.78
304,221,223,383.95,179.51,-383.38,-283.49,0.566,2.45
305,222,237,-58.3,-90.79,58.42,59.96,0.12,4.42
306,224,225,-143.17,77.57,146.13,-106.79,2.961,18.95
307,224,226,-74.48,-164.02,74.84,74.39,0.357,1.52
308,225,191,-598.23,-11.69,601.97,239.57,3.736,227.89
309,226,231,-74.84,-74.39,74.89,76.59,0.052,2.2
310,227,231,-209.47,-74.26,209.89,76.49,0.421,22.06
311,228,229,-231.72,-102.46,232.69,-31.21,0.972,4.45
312,228,231,13.38,-17.74,-13.37,18.17,0.012,0.42
313,228,234,-4.67,-27.8,4.67,-58.57,0.003,0.07
314,229,190,30.94,-10.41,-30.94,11.02,0,0.61
315,231,232,526.82,43.53,-526.29,-174.67,0.528,18.23
316,231,237,-387.06,-502.57,387.28,109.05,0.22,1.32
317,232,233,78.29,31.67,-78.18,-28.49,0.112,3.18
318,234,235,12.26,-2.21,-12.26,-13.03,0,0.04
319,234,237,43.39,-83.51,-43.34,85.78,0.05,2.27
320,235,238,-256.74,-143.97,256.88,59.53,0.144,0.43
321,241,237,612.47,-162.04,-610.56,220.61,1.902,58.57
322,240,281,-33.09,-30.25,33.1,29.4,0.006,0.08
323,242,245,67.7,26.81,-67.3,-22.59,0.407,4.22
324,242,247,100.28,23.76,-99.16,-16.57,1.113,7.18
325,243,244,57.75,23.34,-57.3,-22.06,0.458,1.28
326,243,245,19.86,13.66,-19.69,-12.69,0.176,0.97
327,244,246,57.3,22.06,-56.59,-20.07,0.703,1.99
328,245,246,19.6,6.7,-19.53,-6.39,0.066,0.31
329,245,247,6.39,-1.42,-6.37,1.51,0.015,0.09
330,246,247,-0.87,-6.54,0.89,6.59,0.012,0.06
331,247,248,43.65,-21.53,-42.65,24.36,0.996,2.83
332,248,249,6.46,-1.61,-6.45,1.65,0.015,0.04
333,249,250,-22.55,-15.65,23,17,0.448,1.35
334,3,1,39.64,55.04,-39.64,-52.95,0,2.09
335,3,2,-25.09,21.75,25.09,-21.24,0,0.51
336,3,4,555.62,-78.97,-555.62,93.45,0,14.47
337,7,5,84.95,80.81,-84.95,-76.07,0,4.73
338,7,6,-25.63,17.81,25.63,-17.46,0,0.34
339,10,11,-19.57,-40.65,19.57,42.48,0,1.83
340,12,10,133.43,-18.54,-133.43,27.65,0,9.1
341,15,17,178.22,-7.38,-173.01,15.74,5.211,8.35
342,16,15,278.95,113.4,-278.17,-83.78,0.779,29.62
343,21,20,523.26,178.61,-523.26,-139.14,0,39.47
344,24,23,67.96,28.79,-67.96,-25.79,0,3.01
345,36,35,68.45,27.51,-68.45,-25.08,0,2.43
346,45,44,272.36,44.15,-272.36,-30.11,0,14.04
347,45,46,-222.03,-32.86,222.03,42.46,0,9.6
348,62,61,90.48,93.66,-90.48,-85.11,0,8.55
349,63,64,-141.8,-4.39,141.8,11.77,0,7.38
350,73,74,-190.06,-76.97,190.06,87,0,10.02
351,81,88,187.58,66.23,-187.58,-59.14,0,7.08
352,85,99,73.57,1.22,-73.57,1.31,0,2.52
353,86,102,32.78,-18.39,-32.78,19.04,0,0.65
354,87,94,52.35,-24.14,-52.35,25.67,0,1.53
355,114,207,-24.65,-0.47,24.65,1.3,0,0.84
356,116,124,67.63,-63.06,-67.21,64.47,0.422,1.41
357,121,115,66.3,-71.07,-66.3,73.95,0,2.88
358,122,157,-196.44,-53.18,196.65,61.39,0.211,8.21
359,130,131,-51.37,-99.04,51.37,101.36,0,2.32
360,130,150,-106.13,-133.3,106.13,137.5,0,4.21
361,132,170,121.54,67.42,-121.33,-59.22,0.204,8.21
362,141,174,92.55,22.12,-92.36,-17.38,0.189,4.74
363,142,175,168.49,85.31,-167.68,-59.87,0.808,16.76
364,143,144,34.69,-50.28,-34.69,53.33,0,3.05
365,143,148,215.09,95.05,-214.49,-77.86,0.602,17.19
366,145,180,292.43,153.04,-291.89,-133.58,0.535,19.46
367,151,170,161.25,68.52,-160.92,-55.78,0.325,12.74
368,153,183,85.84,-2,-85.63,6.95,0.209,4.95
369,155,156,103.03,40.99,-102.93,-37.77,0.101,3.22
370,159,117,-524.14,45.51,524.14,2.78,0,48.29
371,160,124,30.36,16.28,-30.35,-15.85,0.013,0.43
372,163,137,166.55,86.91,-166.16,-69,0.388,11.47
373,164,155,230.19,90.16,-229.7,-74,0.488,12.53
374,182,139,-99,-142.15,99.09,146.09,0.09,3.94
375,189,210,-18.84,-2.1,18.84,2.99,0,0.89
376,193,196,-26.33,-0.34,26.33,1.96,0,1.63
377,195,212,66.68,79.27,-66.6,-75.83,0.075,3.44
378,200,248,-7.19,-10.15,7.19,10.5,0,0.34
379,201,69,-45.69,-14.64,45.69,16.97,0,2.34
380,202,211,-26.37,-15.1,26.37,16.25,0,1.15
381,204,2040,-41.71,-15.34,42.15,20.93,0.435,4.43
382,209,198,-49.7,-9.38,50.35,14.64,0.649,5.27
383,211,212,-124.24,-38.85,124.72,40.79,0.477,1.94
384,218,219,-69.98,-20.38,70.03,23.21,0.049,1.72
385,223,224,-44.62,51.49,44.65,-12.55,0.034,0.56
386,229,230,-359.63,-4.38,360.87,45.5,1.239,41.12
387,234,236,-632.32,-99.71,634.53,170.35,2.207,70.64
388,238,239,-576.48,-111.77,578.17,165.81,1.689,54.05
389,196,2040,42.15,21.37,-42.15,-20.93,0.002,0.44
390,119,1190,100.41,31.54,-100.31,-29.17,0.103,2.37
391,120,1200,-100,36.53,100,-34.17,0,2.36
392,7002,2,558.14,62.62,-555.34,-21.63,2.807,40.99
393,7003,3,1141.57,420,-1141.57,-278.16,0,141.84
394,7061,61,375.84,141.3,-375.84,-107.15,0,34.15
395,7062,62,379.81,150,-379.81,-105.12,0,44.88
396,7166,166,491.49,127.23,-491.49,-91.91,0,35.33
397,7024,24,384.34,81.03,-384.34,-39.16,0,41.87
398,7001,1,435.64,109.18,-435.64,-74.12,0,35.06
399,7130,130,1222.96,273.73,-1222.96,-3.96,0,269.77
400,7011,11,224.82,100,-224.82,-89.4,0,10.6
401,7023,23,166.29,0,-166.29,5.67,0,5.67
402,7049,49,72.62,10,-72.62,-9.38,0,0.62
403,7139,139,716.61,306.57,-716.61,-216.28,0,90.3
404,7012,12,355.42,179.85,-355.42,-135.79,0,44.06
405,7017,17,387.99,266.08,-387.99,-235.74,0,30.34
406,7039,39,516.19,49.13,-516.19,25.97,0,75.1
407,7057,57,159.24,39.86,-159.24,-27.04,0,12.82
408,7044,44,39.92,16.13,-39.92,-13.13,0,3
409,7055,55,47.9,25,-47.9,-20.03,0,4.97
410,7071,71,137.59,76,-137.59,-60.82,0,15.18
