node1,node2,capacity,susceptance,cost_fixed,cost_linear
19,112,1260,1,0.1,0.06774340893346512
8,120,912,1,0.1,0.038894226633359535
17,122,350,1,0.1,0.06494827260903063
31,122,1887,1,0.1,0.03943746334896914
58,122,662,1,0.1,0.060857387563298594
94,122,460,1,0.1,0.07449223078213452
33,124,350,1,0.1,0.06220994162841757
54,124,10,1,0.1,0.04006295040484858
70,124,392,1,0.1,0.034310638182439436
94,126,350,1,0.1,0.07481026991887332
120,126,3660,1,0.1,0.08857183020627467
3,128,1056,1,0.1,0.0564891897574898
32,128,1702,1,0.1,0.0583069685366453
15,134,651,1,0.1,0.04354431506313916
76,134,350,1,0.1,0.09336693276265902
82,134,672,1,0.1,0.06478755610115966
110,134,350,1,0.1,0.07325691485731992
15,135,350,1,0.1,0.06819340155206242
17,135,350,1,0.1,0.08162497476439752
84,135,248,1,0.1,0.05713539398677881
8,145,2194,1,0.1,0.02942736690764599
66,145,2173,1,0.1,0.07845246777081456
55,147,533,1,0.1,0.07121999430983438
120,147,4611,1,0.1,0.05510022973217784
21,148,350,1,0.1,0.08659707639355414
33,148,1359,1,0.1,0.042559650312345224
63,148,350,1,0.1,0.048731668308506296
76,148,169,1,0.1,0.05669753758699472
80,148,1576,1,0.1,0.0542405081461154
82,148,350,1,0.1,0.062313432695880695
21,149,1603,1,0.1,0.03779301862162999
32,149,1692,1,0.1,0.0699501657961325
80,149,350,1,0.1,0.07578879977810447
71,153,2988,1,0.1,0.0801323443207323
126,153,3344,1,0.1,0.053274278017226145
31,156,350,1,0.1,0.05774658521872612
71,156,419,1,0.1,0.051809371357666854
39,158,350,1,0.1,0.09074342963694725
55,158,350,1,0.1,0.09044123768343462
68,158,350,1,0.1,0.08978349491402687
147,158,5417,1,0.1,0.05857902205373936
19,162,350,1,0.1,0.09287508220480628
68,162,4354,1,0.1,0.0539951329839394
112,162,1229,1,0.1,0.0682335763873005
158,162,5507,1,0.1,0.06433541931689411
8,163,350,1,0.1,0.08509784299590852
66,163,9,1,0.1,0.06534308520354754
112,163,350,1,0.1,0.08862336026418038
120,163,350,1,0.1,0.08893894364106016
15,166,366,1,0.1,0.048044167147530084
134,166,350,1,0.1,0.058011886579205044
135,166,350,1,0.1,0.06481846964822044
156,166,350,1,0.1,0.09064876086295877
110,168,350,1,0.1,0.08920209430674085
134,168,350,1,0.1,0.07677343847545594
156,168,333,1,0.1,0.0721988637864966
166,168,55,1,0.1,0.06706388822195031
36,136,104,1,0.1,0.08741561077691186
2,44,53,1,0.1,0.05087658034316174
49,57,1654,1,0.1,0.080881405770439
11,83,168,1,0.1,0.060337036287230604
47,89,13,1,0.1,0.09059193481244672
32,101,350,1,0.1,0.08534378855830234
81,101,5,1,0.1,0.06482605586837466
11,102,1790,1,0.1,0.07929415258372316
38,102,350,1,0.1,0.08411914013661428
49,102,1774,1,0.1,0.057741222372929855
114,159,52,1,0.1,0.06886772213782981
114,141,350,1,0.1,0.08572041988641463
141,159,10,1,0.1,0.05601323185575025
24,88,111,1,0.1,0.08518523583050679
24,100,101,1,0.1,0.09122864622203224
65,117,32,1,0.1,0.09047743201440848
125,143,33,1,0.1,0.06494078455518579
100,157,48,1,0.1,0.06893503378338876
43,164,57,1,0.1,0.0586017781121928
12,125,48,1,0.1,0.08644338266471728
12,164,28,1,0.1,0.022153649086555358
22,34,361,1,0.1,0.08686955148507895
20,37,350,1,0.1,0.08256086612157008
28,37,320,1,0.1,0.07927447335192576
20,46,350,1,0.1,0.08823959215230474
43,59,132,1,0.1,0.041497086054661986
59,164,350,1,0.1,0.07462890226497419
12,59,350,1,0.1,0.0916568410013725
37,75,848,1,0.1,0.0783675879759515
56,77,356,1,0.1,0.0607852063209481
1,78,129,1,0.1,0.03106709778106444
22,91,350,1,0.1,0.07715312824920184
59,96,206,1,0.1,0.07289695043615234
91,96,350,1,0.1,0.08348833496455185
95,96,198,1,0.1,0.09344594664959081
59,99,339,1,0.1,0.05570378575054412
96,99,350,1,0.1,0.08194045839132756
20,104,1739,1,0.1,0.045958462976997294
37,104,1252,1,0.1,0.06092199586165492
46,104,445,1,0.1,0.0639877805326176
22,105,350,1,0.1,0.0907756499866036
91,105,80,1,0.1,0.07053587920260686
96,105,350,1,0.1,0.09270831232947073
99,105,159,1,0.1,0.0673632907047851
12,108,350,1,0.1,0.08729126899942506
86,108,350,1,0.1,0.08901401400261624
99,108,549,1,0.1,0.08824180961239636
37,109,350,1,0.1,0.08536320871536524
46,109,389,1,0.1,0.07677104492334705
86,109,330,1,0.1,0.07218857176277654
104,109,350,1,0.1,0.06771877366793567
103,113,350,1,0.1,0.07471547177866678
22,116,107,1,0.1,0.08851127041091024
103,116,20,1,0.1,0.07136068749562834
113,116,5,1,0.1,0.07678589543952752
78,129,350,1,0.1,0.08708383613508762
56,130,353,1,0.1,0.04938079541846684
20,132,1779,1,0.1,0.06016279209479495
37,132,350,1,0.1,0.08998502404764157
22,133,616,1,0.1,0.07636603518626431
75,133,738,1,0.1,0.05279972898948691
105,133,350,1,0.1,0.08258661940026076
1,138,431,1,0.1,0.07002693922012825
27,138,227,1,0.1,0.08395186225760252
27,140,294,1,0.1,0.04916011219064958
78,140,350,1,0.1,0.09323048420289957
129,140,298,1,0.1,0.04952922121637876
95,142,120,1,0.1,0.07706345022373694
108,144,598,1,0.1,0.08441073637569499
138,144,643,1,0.1,0.06810580199172546
129,155,16,1,0.1,0.034965565782186944
140,155,350,1,0.1,0.058427116569565396
129,160,317,1,0.1,0.05085731551262452
130,160,324,1,0.1,0.06502170033602417
155,160,350,1,0.1,0.06546267197891348
34,167,229,1,0.1,0.06669925756665093
9,77,409,1,0.1,0.056751764792132876
10,28,350,1,0.1,0.08604805425875092
10,132,1903,1,0.1,0.08274772224546989
3,51,1569,1,0.1,0.06437526800587878
14,51,350,1,0.1,0.06968744629331645
51,128,350,1,0.1,0.08376735656598788
32,52,350,1,0.1,0.0902617405486164
52,128,728,1,0.1,0.07609970651983516
52,101,165,1,0.1,0.08148424566516711
9,52,929,1,0.1,0.08009318145272117
9,72,350,1,0.1,0.07507546291607672
51,72,1470,1,0.1,0.07505006342568062
52,72,350,1,0.1,0.09090259678036187
10,121,838,1,0.1,0.043054828948119336
97,121,1373,1,0.1,0.08252034750622976
9,169,350,1,0.1,0.08456108217689273
72,169,1403,1,0.1,0.06507049993966853
97,169,1392,1,0.1,0.08282345473821386
