scenario,node1,node2
15,109.0,110.0
15,106.0,107.0
15,17.0,113.0
15,45.0,46.0
15,71.0,72.0
15,92.0,93.0
15,52.0,53.0
15,94.0,95.0
15,34.0,43.0
16,17.0,113.0
17,85.0,88.0
17,92.0,100.0
17,62.0,67.0
17,77.0,80.0
17,85.0,89.0
18,11.0,12.0
18,94.0,96.0
19,24.0,70.0
20,2.0,12.0
21,37.0,38.0
21,17.0,30.0
21,17.0,113.0
21,70.0,74.0
21,104.0,105.0
21,54.0,56.0
21,94.0,100.0
21,53.0,54.0
21,60.0,61.0
21,109.0,110.0
21,82.0,83.0
21,77.0,82.0
21,101.0,102.0
21,76.0,77.0
21,92.0,100.0
22,59.0,60.0
22,65.0,66.0
22,89.0,92.0
22,51.0,52.0
23,44.0,45.0
23,63.0,64.0
23,92.0,102.0
23,85.0,88.0
23,69.0,77.0
23,1.0,2.0
23,19.0,20.0
23,54.0,56.0
23,26.0,30.0
23,7.0,12.0
23,89.0,90.0
23,96.0,97.0
23,31.0,32.0
23,42.0,49.0
24,75.0,77.0
24,68.0,69.0
24,84.0,85.0
25,75.0,118.0
25,88.0,89.0
25,55.0,59.0
25,83.0,85.0
25,20.0,21.0
25,82.0,83.0
25,48.0,49.0
25,80.0,96.0
25,49.0,66.0
25,80.0,81.0
25,8.0,9.0
25,5.0,8.0
25,94.0,95.0
25,49.0,51.0
25,91.0,92.0
26,80.0,97.0
26,4.0,11.0
26,49.0,50.0
26,74.0,75.0
26,110.0,111.0
26,98.0,100.0
26,103.0,104.0
26,76.0,118.0
26,8.0,30.0
26,7.0,12.0
26,37.0,39.0
26,3.0,5.0
26,35.0,37.0
26,1.0,3.0
27,106.0,107.0
27,40.0,41.0
27,51.0,58.0
28,103.0,105.0
28,105.0,106.0
28,69.0,70.0
28,19.0,34.0
28,106.0,107.0
29,62.0,67.0
29,17.0,18.0
30,69.0,77.0
30,11.0,12.0
30,49.0,69.0
30,40.0,41.0
30,103.0,104.0
30,6.0,7.0
30,45.0,49.0
30,45.0,46.0
31,35.0,36.0
31,23.0,24.0
31,32.0,113.0
31,50.0,57.0
31,103.0,104.0
31,83.0,85.0
31,28.0,29.0
31,59.0,61.0
31,70.0,71.0
31,82.0,96.0
31,47.0,69.0
31,41.0,42.0
31,78.0,79.0
32,27.0,32.0
32,49.0,51.0
32,101.0,102.0
32,16.0,17.0
32,110.0,111.0
32,68.0,69.0
32,51.0,58.0
32,22.0,23.0
33,77.0,78.0
34,1.0,3.0
34,33.0,37.0
34,82.0,83.0
34,68.0,69.0
34,59.0,60.0
34,17.0,18.0
34,75.0,77.0
34,49.0,54.0
34,70.0,74.0
34,79.0,80.0
34,24.0,72.0
35,65.0,66.0
35,4.0,5.0
35,85.0,88.0
35,33.0,37.0
35,37.0,38.0
35,56.0,57.0
35,26.0,30.0
35,96.0,97.0
35,17.0,18.0
35,45.0,49.0
35,29.0,31.0
35,54.0,56.0
35,59.0,60.0
35,63.0,64.0
35,103.0,105.0
35,42.0,49.0
36,39.0,40.0
36,51.0,52.0
36,46.0,47.0
36,51.0,58.0
36,75.0,118.0
36,34.0,36.0
36,69.0,70.0
36,6.0,7.0
36,32.0,113.0
36,77.0,80.0
36,5.0,11.0
36,63.0,64.0
37,51.0,52.0
38,12.0,16.0
38,50.0,57.0
38,35.0,37.0
38,17.0,31.0
38,46.0,47.0
39,25.0,26.0
39,11.0,12.0
39,20.0,21.0
39,6.0,7.0
39,68.0,81.0
39,18.0,19.0
39,64.0,65.0
40,62.0,67.0
40,54.0,56.0
40,76.0,118.0
40,23.0,25.0
40,27.0,28.0
40,5.0,8.0
40,17.0,30.0
40,1.0,2.0
40,68.0,81.0
40,15.0,19.0
40,80.0,98.0
40,69.0,77.0
40,100.0,103.0
40,40.0,42.0
40,92.0,94.0
40,47.0,49.0
41,12.0,16.0
41,95.0,96.0
41,85.0,88.0
41,34.0,37.0
41,49.0,50.0
41,109.0,110.0
42,5.0,8.0
43,47.0,49.0
43,100.0,104.0
43,49.0,66.0
43,8.0,30.0
43,114.0,115.0
43,80.0,97.0
43,86.0,87.0
43,4.0,5.0
43,18.0,19.0
43,51.0,58.0
43,14.0,15.0
43,89.0,92.0
43,94.0,95.0
43,33.0,37.0
44,60.0,62.0
44,31.0,32.0
44,59.0,60.0
44,22.0,23.0
44,32.0,113.0
44,48.0,49.0
44,63.0,64.0
44,56.0,57.0
45,31.0,32.0
45,80.0,97.0
45,70.0,75.0
45,80.0,96.0
45,55.0,56.0
46,14.0,15.0
46,69.0,77.0
46,13.0,15.0
46,79.0,80.0
46,38.0,65.0
46,70.0,71.0
46,75.0,118.0
46,69.0,75.0
46,23.0,25.0
46,85.0,89.0
46,24.0,70.0
46,54.0,56.0
46,69.0,70.0
46,23.0,32.0
46,62.0,67.0
47,18.0,19.0
47,88.0,89.0
47,59.0,63.0
47,35.0,36.0
47,62.0,66.0
48,15.0,19.0
49,23.0,32.0
49,80.0,96.0
49,88.0,89.0
49,80.0,99.0
49,37.0,40.0
49,62.0,66.0
49,66.0,67.0
49,94.0,96.0
49,12.0,16.0
49,85.0,89.0
49,54.0,59.0
49,37.0,39.0
