node1,node2,capacity,reactance,cost_fixed,cost_linear
40.0,42.0,18.0,1.0,0.0,0.1
41.0,42.0,40.0,1.0,0.0,0.1
42.0,49.0,182.0,1.0,0.0,0.1
43.0,44.0,19.0,1.0,0.0,0.1
44.0,45.0,55.0,1.0,0.0,0.1
45.0,49.0,103.0,1.0,0.0,0.1
45.0,46.0,72.0,1.0,0.0,0.1
46.0,48.0,33.0,1.0,0.0,0.1
46.0,47.0,60.0,1.0,0.0,0.1
47.0,49.0,40.0,1.0,0.0,0.1
47.0,69.0,98.0,1.0,0.0,0.1
48.0,49.0,78.0,1.0,0.0,0.1
49.0,66.0,463.0,1.0,0.0,0.1
49.0,69.0,77.0,1.0,0.0,0.1
49.0,50.0,103.0,1.0,0.0,0.1
49.0,51.0,128.0,1.0,0.0,0.1
49.0,54.0,139.0,1.0,0.0,0.1
50.0,57.0,63.0,1.0,0.0,0.1
51.0,58.0,28.0,1.0,0.0,0.1
51.0,52.0,59.0,1.0,0.0,0.1
52.0,53.0,18.0,1.0,0.0,0.1
53.0,54.0,35.0,1.0,0.0,0.1
54.0,56.0,5.0,1.0,0.0,0.1
54.0,59.0,49.0,1.0,0.0,0.1
54.0,55.0,4.0,1.0,0.0,0.1
55.0,56.0,13.0,1.0,0.0,0.1
55.0,59.0,54.0,1.0,0.0,0.1
56.0,57.0,35.0,1.0,0.0,0.1
56.0,58.0,1.0,1.0,0.0,0.1
56.0,59.0,90.0,1.0,0.0,0.1
59.0,60.0,82.0,1.0,0.0,0.1
59.0,61.0,101.0,1.0,0.0,0.1
59.0,63.0,300.0,1.0,0.0,0.1
60.0,61.0,241.0,1.0,0.0,0.1
60.0,62.0,17.0,1.0,0.0,0.1
61.0,64.0,71.0,1.0,0.0,0.1
61.0,62.0,62.0,1.0,0.0,0.1
62.0,66.0,80.0,1.0,0.0,0.1
62.0,67.0,50.0,1.0,0.0,0.1
63.0,64.0,300.0,1.0,0.0,0.1
64.0,65.0,370.0,1.0,0.0,0.1
65.0,66.0,32.0,1.0,0.0,0.1
65.0,68.0,154.0,1.0,0.0,0.1
66.0,67.0,115.0,1.0,0.0,0.1
68.0,116.0,415.0,1.0,0.0,0.1
68.0,69.0,244.0,1.0,0.0,0.1
68.0,81.0,18.0,1.0,0.0,0.1
69.0,70.0,215.0,1.0,0.0,0.1
69.0,75.0,220.0,1.0,0.0,0.1
69.0,77.0,164.0,1.0,0.0,0.1
70.0,74.0,32.0,1.0,0.0,0.1
70.0,75.0,5.0,1.0,0.0,0.1
70.0,71.0,25.0,1.0,0.0,0.1
71.0,72.0,11.0,1.0,0.0,0.1
71.0,73.0,14.0,1.0,0.0,0.1
74.0,75.0,84.0,1.0,0.0,0.1
75.0,118.0,80.0,1.0,0.0,0.1
75.0,77.0,53.0,1.0,0.0,0.1
76.0,77.0,98.0,1.0,0.0,0.1
76.0,118.0,5.0,1.0,0.0,0.1
77.0,78.0,112.0,1.0,0.0,0.1
77.0,80.0,279.0,1.0,0.0,0.1
77.0,82.0,37.0,1.0,0.0,0.1
78.0,79.0,49.0,1.0,0.0,0.1
79.0,80.0,137.0,1.0,0.0,0.1
80.0,96.0,59.0,1.0,0.0,0.1
80.0,97.0,75.0,1.0,0.0,0.1
80.0,98.0,65.0,1.0,0.0,0.1
80.0,99.0,44.0,1.0,0.0,0.1
80.0,81.0,18.0,1.0,0.0,0.1
82.0,96.0,34.0,1.0,0.0,0.1
82.0,83.0,52.0,1.0,0.0,0.1
83.0,84.0,35.0,1.0,0.0,0.1
83.0,85.0,62.0,1.0,0.0,0.1
84.0,85.0,60.0,1.0,0.0,0.1
85.0,88.0,85.0,1.0,0.0,0.1
85.0,89.0,132.0,1.0,0.0,0.1
85.0,86.0,40.0,1.0,0.0,0.1
86.0,87.0,9.0,1.0,0.0,0.1
88.0,89.0,194.0,1.0,0.0,0.1
89.0,90.0,359.0,1.0,0.0,0.1
89.0,92.0,443.0,1.0,0.0,0.1
90.0,91.0,17.0,1.0,0.0,0.1
91.0,92.0,40.0,1.0,0.0,0.1
92.0,100.0,31.0,1.0,0.0,0.1
92.0,102.0,61.0,1.0,0.0,0.1
92.0,93.0,86.0,1.0,0.0,0.1
92.0,94.0,74.0,1.0,0.0,0.1
93.0,94.0,58.0,1.0,0.0,0.1
94.0,96.0,34.0,1.0,0.0,0.1
94.0,100.0,55.0,1.0,0.0,0.1
94.0,95.0,83.0,1.0,0.0,0.1
95.0,96.0,13.0,1.0,0.0,0.1
96.0,97.0,41.0,1.0,0.0,0.1
98.0,100.0,13.0,1.0,0.0,0.1
99.0,100.0,52.0,1.0,0.0,0.1
100.0,101.0,1.0,1.0,0.0,0.1
100.0,103.0,166.0,1.0,0.0,0.1
100.0,104.0,90.0,1.0,0.0,0.1
100.0,106.0,95.0,1.0,0.0,0.1
101.0,102.0,50.0,1.0,0.0,0.1
103.0,104.0,58.0,1.0,0.0,0.1
103.0,105.0,70.0,1.0,0.0,0.1
103.0,110.0,72.0,1.0,0.0,0.1
104.0,105.0,60.0,1.0,0.0,0.1
105.0,106.0,25.0,1.0,0.0,0.1
105.0,107.0,28.0,1.0,0.0,0.1
105.0,108.0,17.0,1.0,0.0,0.1
106.0,107.0,20.0,1.0,0.0,0.1
108.0,109.0,13.0,1.0,0.0,0.1
109.0,110.0,6.0,1.0,0.0,0.1
110.0,112.0,72.0,1.0,0.0,0.1
110.0,111.0,79.0,1.0,0.0,0.1
114.0,115.0,6.0,1.0,0.0,0.1
100.0,90.0,0,1,1.0,0.1
50.0,31.0,0,1,1.0,0.1
61.0,48.0,0,1,1.0,0.1
93.0,36.0,0,1,1.0,0.1
57.0,69.0,0,1,1.0,0.1
108.0,60.0,0,1,1.0,0.1
34.0,90.0,0,1,1.0,0.1
73.0,30.0,0,1,1.0,0.1
108.0,116.0,0,1,1.0,0.1
96.0,107.0,0,1,1.0,0.1
37.0,87.0,0,1,1.0,0.1
107.0,81.0,0,1,1.0,0.1
56.0,12.0,0,1,1.0,0.1
52.0,73.0,0,1,1.0,0.1
108.0,115.0,0,1,1.0,0.1
57.0,103.0,0,1,1.0,0.1
31.0,95.0,0,1,1.0,0.1
65.0,2.0,0,1,1.0,0.1
85.0,48.0,0,1,1.0,0.1
98.0,79.0,0,1,1.0,0.1
1.0,59.0,0,1,1.0,0.1
103.0,29.0,0,1,1.0,0.1
39.0,103.0,0,1,1.0,0.1
23.0,67.0,0,1,1.0,0.1
29.0,115.0,0,1,1.0,0.1
95.0,53.0,0,1,1.0,0.1
10.0,38.0,0,1,1.0,0.1
60.0,111.0,0,1,1.0,0.1
13.0,66.0,0,1,1.0,0.1
84.0,65.0,0,1,1.0,0.1
97.0,64.0,0,1,1.0,0.1
114.0,72.0,0,1,1.0,0.1
70.0,53.0,0,1,1.0,0.1
71.0,46.0,0,1,1.0,0.1
68.0,35.0,0,1,1.0,0.1
23.0,73.0,0,1,1.0,0.1
78.0,57.0,0,1,1.0,0.1
11.0,90.0,0,1,1.0,0.1
104.0,109.0,0,1,1.0,0.1
109.0,64.0,0,1,1.0,0.1
47.0,84.0,0,1,1.0,0.1
33.0,96.0,0,1,1.0,0.1
101.0,106.0,0,1,1.0,0.1
70.0,113.0,0,1,1.0,0.1
69.0,54.0,0,1,1.0,0.1
78.0,118.0,0,1,1.0,0.1
109.0,94.0,0,1,1.0,0.1
10.0,73.0,0,1,1.0,0.1
58.0,75.0,0,1,1.0,0.1
100.0,29.0,0,1,1.0,0.1
87.0,14.0,0,1,1.0,0.1
27.0,94.0,0,1,1.0,0.1
40.0,97.0,0,1,1.0,0.1
