transcript,formatted.address,lat.coord,lon.coord,place,sign,place_name,district,nafa,natural_area_class,municipla_class,metropolitan_class,religion,total_population,jews and others,jews,arabs,est_year,settlement_method,organizational_association,coordinates,hight,planning_commetee,police,transcript_pub,שדה לקישור
ARGAMAN,"Argaman St, Jerusalem, Israel",31.7926519,35.2055917,ארגמן,3598,ארגמן,7,75,NA,75,NA,1,131,0.1,0.1,NA,1968,310,9,2494067548,-181,712,4164,Argaman,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3598
ARSUF,"Arsuf, Israel",32.212841,34.815977,ארסוף,1324,ארסוף,4,41,411,19,141,1,163,0.2,0.1,NA,1995,350,NA,1828768007,39,401,5120,Arsuf,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1324
ASERET,"Aseret, Israel",31.824913,34.747459,עשרת,591,עשרת,4,44,441,32,143,1,974,1,1,NA,1954,350,NA,1761763696,56,456,5230,Aseret,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=591
ASFAR,Metzad,31.586152,35.187594,אספר,3754,אספר,7,77,NA,76,NA,1,688,0.7,0.7,NA,1983,370,8,2178561035,937,714,4352,Asfar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3754
ASHALIM,"Ashalim, Israel",30.964245,34.699674,אשלים,1152,אשלים,6,62,626,48,NA,1,495,0.5,0.5,NA,1976,370,19,1713254166,327,620,3450,Ashalim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1152
ASHDOT YA'AQOV(IHUD),"Ashdot Ya'akov Ihud, Israel",32.65877,35.579637,אשדות יעקב (איחוד),199,אשדות יעקב (איחוד),2,22,221,6,NA,1,984,1,1,NA,1933,330,15,2547172936,-200,214,1240,Ashdot Ya'aqov(Ihud),http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=199
ASHDOT YA'AQOV(ME'UHAD),"Ashdot Ya'akov Meuhad, Israel",32.664808,35.582769,אשדות יעקב (מאוחד),188,אשדות יעקב (מאוחד),2,22,221,6,NA,1,445,0.4,0.4,NA,1933,330,15,2549172982,-200,214,1240,Ashdot Ya'aqov(Me'uhad),http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=188
ASHERAT,"Oshrat, Israel",32.971645,35.1557,אשרת,1256,אשרת,2,24,245,4,NA,1,545,0.5,0.5,NA,1983,370,13,2148876406,57,201,1350,Asherat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1256
ATERET,NA,NA,NA,עטרת,3658,עטרת,7,74,NA,73,NA,1,875,0.9,0.9,NA,1981,370,11,2167865658,698,711,4354,Ateret,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3658
AVDON,"Avdon, Israel",33.048792,35.179128,עבדון,892,עבדון,2,24,244,52,NA,1,635,0.6,0.6,NA,1952,310,1,2172177253,166,255,1350,Avdon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=892
AVENAT,"דרך אבנט 2, תל מונד, Israel",32.2490073,34.8910008,אבנת,3786,אבנת,7,75,NA,74,NA,1,193,0.2,0.2,NA,1983,370,NA,2414962074,-341,713,4355,Avenat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3786
AVI'EL,"Aviel, Israel",32.531346,34.993493,אביאל,679,אביאל,3,32,324,45,NA,1,851,0.9,0.8,NA,1949,310,9,1996171533,52,351,1181,Avi'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=679
AVI'EZER,"Aviezer, Israel",31.681996,35.018821,אביעזר,1070,אביעזר,1,11,112,26,444,1,855,0.9,0.9,NA,1958,310,2,2016662104,377,151,7004,Avi'ezer,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1070
AVIGEDOR,"Avigdor, Israel",31.711901,34.740369,אביגדור,819,אביגדור,6,61,611,33,143,1,779,0.8,0.8,NA,1950,310,1,1757162427,63,616,3830,Avigedor,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=819
AVITAL,"Avital, Israel",32.557676,35.306412,אביטל,2052,אביטל,2,23,234,8,NA,1,520,0.5,0.5,NA,1953,310,1,2291271816,72,204,1420,Avital,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2052
AVIVIM,"Avivim, Israel",33.089381,35.470338,אביבים,1115,אביבים,2,21,212,2,NA,1,502,0.5,0.5,NA,1960,310,1,2444177707,725,209,1230,Avivim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1115
AVNE ETAN,Avnei Eitan,32.824808,35.765777,אבני איתן,4011,אבני איתן,2,29,294,71,NA,1,681,0.7,0.7,NA,1978,310,2,2719674774,381,219,1270,Avne Etan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4011
AVSHALOM,"Avshalom, Israel",31.195397,34.3312,אבשלום,1311,אבשלום,6,62,622,38,NA,1,264,0.3,0.2,NA,1990,370,10,1361956745,91,651,3430,Avshalom,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1311
AVTALYON,"Avtalion, Israel",32.835781,35.350442,אבטליון,1275,אבטליון,2,24,241,56,NA,1,394,0.4,0.4,NA,1987,370,10,2331474908,362,205,1360,Avtalyon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1275
AYANOT,"Ayanot, Israel",31.91579999999999,34.768097,עיינות,156,עיינות,4,44,442,27,143,1,352,0.4,0.3,NA,1930,340,NA,1781664704,24,456,5230,Ayanot,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=156
AZRI'EL,"Azri'el, Israel",32.262841,34.971133,עזריאל,837,עזריאל,4,41,411,18,141,1,897,0.9,0.9,NA,1951,310,2,1974268544,53,412,5120,Azri'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=837
BAHAN,"Bahan, Israel",32.351831,35.018542,בחן,2043,בחן,4,41,412,16,141,1,951,1,0.9,NA,1953,330,15,2019669523,61,409,5150,Bahan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2043
BALFURYA,"Balfouria, Israel",32.629988,35.296281,בלפוריה,94,בלפוריה,2,23,234,9,NA,1,445,0.4,0.4,NA,1922,310,1,2280872620,87,254,1420,Balfurya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=94
BAR'AM,"Bar'am, Israel",33.058979,35.433235,ברעם,667,ברעם,2,21,212,1,NA,1,589,0.6,0.5,NA,1949,330,15,2408677373,736,253,1230,Bar'am,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=667
BAR GIYYORA,"Bar Giora, Israel",31.729683,35.073414,בר גיורא,823,בר גיורא,1,11,111,26,444,1,661,0.7,0.7,NA,1950,310,9,2069462636,699,151,7004,Bar Giyyora,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=823
BAR YOHAY,"Bar Yohai, Israel",32.997704,35.44819,בר יוחאי,1191,בר יוחאי,2,21,212,2,NA,1,941,0.9,0.9,NA,1979,370,2,2422976699,713,209,1230,Bar Yohay,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1191
BARAQ,"Barak, Israel",32.542821000000004,35.265291,ברק,141,ברק,2,23,234,8,NA,1,425,0.4,0.4,NA,1956,310,1,2251371651,72,204,1420,Baraq,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=141
BARQAY,"Barkai, Israel",32.476096,35.031044,ברקאי,617,ברקאי,3,32,324,14,NA,1,557,0.6,0.5,NA,1949,330,15,2029770901,65,351,1450,Barqay,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=617
BAT HADAR,"Bat Hadar, Israel",31.648125,34.597146,בת הדר,1323,בת הדר,6,61,614,36,NA,1,732,0.7,0.7,NA,1995,350,NA,1618161736,58,633,3840,Bat Hadar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1323
BAT HEN,"Bat Hen, Israel",32.360194,34.872388,בת חן,1361,בת חן,4,41,411,16,141,1,410,0.4,0.4,NA,1967,350,NA,1881869630,34,409,5120,Bat Hen,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1361
BAT SHELOMO,"Bat Shlomo, Israel",32.600335,35.003837,בת שלמה,33,בת שלמה,3,32,322,15,243,1,639,0.6,0.6,NA,1889,310,7,2005972291,92,303,1181,Bat Shelomo,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=33
BE'ER GANNIM,"Be'er Ganim, Israel",31.700354,34.610934,באר גנים,1376,באר גנים,6,61,614,36,NA,1,660,0.7,0.7,NA,2012,370,NA,1628862323,31,633,3810,Be'er Gannim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1376
BE'ER MILKA,"Be'er Milka, Israel",30.934112,34.405643,באר מילכה,1278,באר מילכה,6,62,626,48,NA,1,157,0.2,0.2,NA,2006,310,1,1432753827,217,620,3450,Be'er Milka,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1278
BE'ER ORA,"Be'er Ora, Israel",29.710166,34.987218,באר אורה,21,באר אורה,6,62,625,53,NA,1,734,0.7,0.7,NA,1950,370,19,1977040254,183,608,3460,Be'er Ora,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=21
BE'EROT YIZHAQ,"Be'erot Yitzhak, Israel",32.042025,34.910221,בארות יצחק,450,בארות יצחק,4,42,422,25,142,1,415,0.4,0.4,NA,1948,330,3,1916866088,52,424,5130,Be'erot Yizhaq,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=450
BEN AMMI,"Ben Ami, Israel",33.005369,35.122218,בן עמי,712,בן עמי,2,24,245,4,NA,1,766,0.8,0.7,NA,1949,310,1,2119076783,28,201,1350,Ben Ammi,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=712
BEN SHEMEN (MOSHAV),NA,NA,NA,בן שמן (מושב),2013,בן שמן (מושב),4,43,432,25,142,1,870,0.9,0.9,NA,1952,310,1,1928365112,65,424,5280,Ben Shemen (Moshav),http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2013
BEN SHEMEN(K.NO'AR),"Ben Shemen, 7311200, Israel",31.95966499999999,34.929056,בן שמן (כפר נוער),1084,בן שמן (כפר נוער),4,43,432,25,142,1,624,0.6,0.6,NA,1921,340,NA,1932665185,69,424,5280,Ben Shemen(K.No'ar),http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1084
BENAYA,"Bnaya, Israel",31.84344399999999,34.751793,בניה,685,בניה,4,44,441,28,143,1,794,0.8,0.8,NA,1949,310,1,1767263907,35,456,5230,Benaya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=685
BENE ATAROT,"Bnei Atarot, Israel",32.02147,34.910146,בני עטרות,448,בני עטרות,4,42,422,25,142,1,995,1,1,NA,1948,310,1,1920465902,52,424,5130,Bene Atarot,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=448
BENE DAROM,"Bnei Darom, Israel",31.82087,34.691609,בני דרום,592,בני דרום,4,44,441,29,143,1,707,0.7,0.7,NA,1949,320,2,1709163645,32,456,3870,Bene Darom,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=592
BEQA'OT,"Beka'ot St, Bat Hefer, Israel",32.3382214,35.0128582,בקעות,3612,בקעות,7,75,NA,75,NA,1,187,0.2,0.2,NA,1972,310,10,2430468330,72,712,4164,Beqa'ot,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3612
BEQOA,"Beko'a, Israel",31.827899,34.924732,בקוע,864,בקוע,1,11,112,26,NA,1,691,0.7,0.7,NA,1951,310,1,1930663736,150,151,7004,Beqoa,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=864
BEROR HAYIL,"Bror Hayil, Israel",31.55698499999999,34.646547,ברור חיל,428,ברור חיל,6,61,614,37,NA,1,918,0.9,0.9,NA,1948,330,15,1664960739,75,651,3840,Beror Hayil,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=428
BEROSH,"מלכי ישראל 7, Tel Aviv-Yafo, 64163, Israel",32.080038,34.779689,ברוש,2060,ברוש,6,62,621,41,344,1,465,0.5,0.5,NA,1953,310,1,1650558666,129,625,3430,Berosh,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2060
BET ALFA,"Beit Alfa, Israel",32.516357,35.430499,בית אלפא,95,בית אלפא,2,23,232,8,NA,1,743,0.7,0.7,NA,1922,330,15,2407871368,-84,204,1430,Bet Alfa,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=95
BET BERL,"Beit Berl, Israel",32.199789,34.926039,בית ברל,1076,בית ברל,4,42,421,20,141,1,196,0.2,0.2,NA,1947,340,NA,1932267865,69,417,5140,Bet Berl,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1076
BET GAMLI'EL,"Beit Gamliel, Israel",31.856127999999998,34.760947,בית גמליאל,571,בית גמליאל,4,44,441,29,143,1,960,1,1,NA,1949,310,2,1775264049,30,456,5230,Bet Gamli'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=571
BET GUVRIN,"Beit Guvrin-Maresha National Park, Israel",31.601631,34.895464,בית גוברין,619,בית גוברין,6,61,612,35,NA,1,444,0.4,0.4,NA,1949,330,15,1901861345,267,632,3820,Bet Guvrin,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=619
BET HAARAVA,"HaArava St, Beit Nekofa, Israel",31.804063,35.1248906,בית הערבה,3645,בית הערבה,7,75,NA,74,NA,1,183,0.2,0.2,NA,1980,330,15,2473963489,-315,713,4355,Bet HaArava,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3645
BET HAEMEQ,"Beit HaEmek, Israel",32.971014,35.145305,בית העמק,572,בית העמק,2,24,245,4,NA,1,536,0.5,0.5,NA,1949,330,15,2138876403,47,201,1350,Bet HaEmeq,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=572
BET HAGADDI,"Beit HaGadi, Israel",31.422839,34.607878,בית הגדי,723,בית הגדי,6,62,621,39,NA,1,761,0.8,0.8,NA,1949,310,2,1626159279,148,651,3482,Bet HaGaddi,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=723
BET HALEWI,"Beit HaLevi, Israel",32.351596,34.930443,בית הלוי,373,בית הלוי,4,41,411,16,141,1,802,0.8,0.8,NA,1945,310,1,1937569557,18,409,5120,Bet HaLewi,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=373
BET HANAN,"Beit Hanan, Israel",31.935211,34.775596,בית חנן,159,בית חנן,4,44,442,27,143,1,569,0.6,0.6,NA,1930,310,1,1786864903,39,456,5210,Bet Hanan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=159
BET HANANYA,"Beit Hanania, Israel",32.529504,34.926734,בית חנניה,800,בית חנניה,3,32,324,15,NA,1,903,0.9,0.9,NA,1950,310,1,1932871493,10,303,1181,Bet Hananya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=800
BET HERUT,"Beit Herut, Israel",32.376223,34.873765,בית חירות,877,בית חירות,4,41,411,16,141,1,886,0.9,0.9,NA,1933,320,1,1878969842,19,409,5120,Bet Herut,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=877
BET HILLEL,NA,NA,NA,בית הלל,322,בית הלל,2,21,211,55,NA,1,790,0.8,0.8,NA,1940,310,1,2568779040,87,253,1210,Bet Hillel,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=322
BET LEHEM HAGELILIT,"Bethlehem of Galilee, Israel",32.734558,35.191271,בית לחם הגלילית,430,בית לחם הגלילית,2,23,237,9,242,1,788,0.8,0.8,NA,1948,310,1,2181773782,161,254,1440,Bet Lehem HaGelilit,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=430
BET ME'IR,"Beit Meir, Israel",31.794786,35.036753,בית מאיר,751,בית מאיר,1,11,111,26,444,1,804,0.8,0.8,NA,1950,310,2,2035763349,576,151,7004,Bet Me'ir,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=751
BET NEHEMYA,"Beit Nehemia, Israel",31.977142,34.953835,בית נחמיה,784,בית נחמיה,4,43,432,25,142,1,886,0.9,0.9,NA,1950,310,6,1958765375,82,424,5160,Bet Nehemya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=784
BET NEQOFA,"Beit Nekofa, Israel",31.804392,35.126876,בית נקופה,672,בית נקופה,1,11,111,26,444,1,654,0.7,0.6,NA,1949,310,1,2120263464,662,151,6129,Bet Neqofa,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=672
BET NIR,"Beit Nir, Israel",31.647627,34.873107,בית ניר,16,בית ניר,6,61,612,35,NA,1,594,0.6,0.6,NA,1955,330,15,1880461729,241,632,3820,Bet Nir,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=16
BET OREN,"Beit Oren, Israel",32.731601,35.00632,בית אורן,317,בית אורן,3,32,322,15,223,1,470,0.5,0.4,NA,1939,330,15,2008573741,365,303,1140,Bet Oren,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=317
BET OVED,"Beit Oved, Israel",31.921287,34.774905,בית עובד,202,בית עובד,4,44,442,27,143,1,303,0.3,0.3,NA,1933,310,1,1787164773,31,456,5210,Bet Oved,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=202
BET QESHET,"Beit Keshet, Israel",32.718446,35.394952,בית קשת,365,בית קשת,2,22,222,3,NA,1,605,0.6,0.6,NA,1944,330,15,2372073606,191,206,1240,Bet Qeshet,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=365
