transcript,formatted.address,lat.coord,lon.coord,place,sign,place_name,district,nafa,natural_area_class,municipla_class,metropolitan_class,religion,total_population,jews and others,jews,arabs,est_year,settlement_method,organizational_association,coordinates,hight,planning_commetee,police,transcript_pub,שדה לקישור
AKKO,"Acre, Israel",32.933052000000004,35.082678,עכו,7600,עכו,2,24,246,0,241,4,47808,32.8,29.5,15,1948,160,NA,2082275924,9,213,1330,Akko,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=7600
AL SAYYID,"AlSayid Tribe, Israel",31.281719,34.916298,אל סייד,1359,אל סייד,6,62,623,69,342,2,3692,NA,NA,3.7,NA,290,NA,1917857711,376,624,3481,Al Sayyid,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1359
ALE ZAHAV,Alei Zahav,32.072227,35.064135,עלי זהב,3727,עלי זהב,7,73,NA,72,145,1,1643,1.6,1.6,NA,1982,370,9,2063666418,367,710,4164,Ale Zahav,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3727
ALFE MENASHE,Alfei Menashe,32.170631,35.014858,אלפי מנשה,3750,אלפי מנשה,7,73,NA,99,145,1,7780,7.8,7.5,NA,1983,180,NA,2014067559,184,703,4164,Alfe Menashe,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3750
ALLON HAGALIL,"Alon HaGalil, Israel",32.756874,35.220294,אלון הגליל,1182,אלון הגליל,2,23,237,9,242,1,1071,1.1,1.1,NA,1980,310,1,2209474026,203,254,1410,Allon HaGalil,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1182
ALLON SHEVUT,Alon Shvut,31.654871,35.125256,אלון שבות,3604,אלון שבות,7,76,NA,76,445,1,3180,3.2,3.2,NA,1970,190,NA,2119961807,953,714,4352,Allon Shevut,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3604
ALMON,Almon,31.832068,35.296764,עלמון,3715,עלמון,7,74,NA,73,445,1,1329,1.3,1.3,NA,1982,370,11,2280563753,502,711,4354,Almon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3715
AMMINADAV,"Aminadav, Israel",31.75170499999999,35.142428,עמינדב,779,עמינדב,1,11,111,26,444,1,1129,1.1,1.1,NA,1950,310,1,2135062877,824,151,6130,Amminadav,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=779
AR'ARA,"Ar'ara, Israel",32.496323,35.097292,ערערה,637,ערערה,3,32,323,99,NA,2,24166,NA,NA,24.1,NA,260,NA,2087371171,172,354,1450,Ar'ara,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=637
AR'ARA-BANEGEV,"Ar'arat an-Naqab, Israel",31.160927,35.019757,ערערה-בנגב,1192,ערערה-בנגב,6,62,623,99,NA,2,16344,NA,NA,16.3,NA,270,NA,2021956302,458,652,3481,Ar'ara-BaNegev,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1192
ARAD,"Arad, Israel",31.261447,35.214862,ערד,2560,ערד,6,62,623,0,NA,1,24713,24,19.9,NA,1961,160,NA,2203557414,528,610,3480,Arad,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2560
ARAMSHA,"Arab al-Aramshe, Israel",33.088834,35.228839,עראמשה*,1246,עראמשה*,2,24,244,4,NA,2,1611,NA,NA,1.6,NA,450,NA,2214477704,428,201,1350,Aramsha,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1246
ARI'EL,Ari'el,32.104637,35.17451399999999,אריאל,3570,אריאל,7,73,NA,0,145,1,19220,19,15.5,NA,1978,170,NA,2180866797,521,701,4164,Ari'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3570
ARRABE,"Arraba, Israel",32.853705,35.337167,עראבה,531,עראבה,2,24,241,99,NA,2,24450,NA,NA,24.4,NA,260,NA,2319675076,247,262,1360,Arrabe,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=531
ARUGOT,"Arugot, Israel",31.732798,34.77624,ערוגות,593,ערוגות,6,61,611,33,143,1,1155,1.2,1.1,NA,1949,310,1,1785162692,66,616,3830,Arugot,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=593
ASHDOD,"Ashdod, Israel",31.804381,34.655314,אשדוד,70,אשדוד,6,61,613,0,143,1,221591,221.4,199.8,NA,1955,130,NA,1669163377,23,603,3870,Ashdod,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=70
ASHQELON,"Ashkelon, Israel",31.6687885,34.5742523,אשקלון,7100,אשקלון,6,61,614,0,NA,1,134454,134.1,118,NA,1948,140,NA,1596761975,36,604,3810,Ashqelon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=7100
ATLIT,"Atlit, Israel",32.690875,34.942914,עתלית,53,עתלית,3,32,321,15,223,1,6994,6.9,6.8,NA,1904,180,NA,1949073297,11,303,1182,Atlit,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=53
ATSMON SEGEV,"Atzmon, Israel",32.865802,35.252335,עצמון שגב,917,עצמון שגב,2,24,241,56,241,1,1079,1.1,1.1,NA,1953,370,13,2239175235,319,205,1360,Atsmon Segev,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=917
AVIHAYIL,"Avihayil, Israel",32.350708,34.871229,אביחיל,175,אביחיל,4,41,411,16,141,1,1386,1.4,1.4,NA,1932,310,1,1880769526,35,409,5110,Avihayil,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=175
AVNE HEFEZ,Avnei Hefetz,32.284628,35.074551,אבני חפץ,3793,אבני חפץ,7,73,NA,72,NA,1,1759,1.8,1.8,NA,1990,370,11,2071268798,191,710,4164,Avne Hefez,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3793
AYYELET HASHAHAR,"Ayelet HaShahar, Israel",33.021115,35.576732,איילת השחר,77,איילת השחר,2,21,211,1,NA,1,1202,1.2,1.1,NA,1918,330,15,2542476979,173,253,1220,Ayyelet HaShahar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=77
AZARYA,"Azaria, Israel",31.890495,34.911872,עזריה,711,עזריה,4,43,432,30,143,1,1218,1.2,1.2,NA,1949,310,1,1915464420,96,426,5220,Azarya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=711
AZOR,"Azor, Israel",32.029558,34.799648,אזור,565,אזור,5,53,513,99,123,1,12569,12.6,11.9,NA,1948,170,NA,1819265901,25,552,2200,Azor,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=565
AZRIQAM,"Azrikam, Israel",31.751695,34.694818,עזריקם,817,עזריקם,6,61,611,33,143,1,1414,1.4,1.4,NA,1950,310,1,1713862880,39,616,3830,Azriqam,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=817
BAQA AL-GHARBIYYE,"Baqa al-Gharbiyye, Israel",32.422891,35.035764,באקה אל-גרביה,6e3,באקה אל-גרביה,3,32,324,0,NA,2,28526,NA,NA,28.5,NA,260,NA,2041670283,67,354,1450,Baqa Al-Gharbiyye,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=6000
BAREQET,"Bareket, Israel",32.018344,34.943179,ברקת,2038,ברקת,4,42,422,25,142,1,1932,1.9,1.9,NA,1952,310,2,1948965814,82,424,5160,Bareqet,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2038
BARQAN,Barkan,32.109487,35.106008,ברקן,3654,ברקן,7,73,NA,72,145,1,1798,1.8,1.7,NA,1981,370,9,2104466805,432,710,4164,Barqan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3654
BASMA,"Basma, Israel",32.52940100000001,35.103199,"בסמ""ה",1326,"בסמ""ה",3,32,323,99,NA,2,9184,NA,NA,9.2,NA,280,NA,2105471492,239,354,1450,Basma,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1326
BASMAT TAB'UN,"Basmat Tab'un, Israel",32.736287,35.1532,בסמת טבעון,944,בסמת טבעון,2,23,237,99,242,2,7619,NA,NA,7.6,NA,280,NA,2131573776,189,257,1160,Basmat Tab'un,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=944
BAT AYIN,Bat Ayin,31.657653,35.101101,בת עין,3794,בת עין,7,76,NA,76,445,1,1307,1.3,1.3,NA,1989,370,11,2095961845,810,714,4352,Bat Ayin,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3794
BAT HEFER,Bat Hefer,32.333714,35.013729,בת חפר,1319,בת חפר,4,41,412,16,141,1,5412,5.4,5.3,NA,1996,180,NA,2014969329,57,409,5150,Bat Hefer,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1319
BAT YAM,"Bat Yam, Israel",32.013186,34.748019,בת ים,6200,בת ים,5,53,513,0,123,1,128904,128.2,104.6,NA,1926,140,NA,1765265859,23,502,2200,Bat Yam,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=6200
BAZRA,"Batzra, Israel",32.214541,34.878123,בצרה,389,בצרה,4,41,411,19,141,1,1153,1.2,1.1,NA,1946,310,10,1886968001,26,401,5120,Bazra,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=389
BE'ER SHEVA,"Be'er Sheva, Israel",31.252973,34.791462,באר שבע,9e3,באר שבע,6,62,623,0,310,1,205810,200.8,180.3,NA,1948,130,NA,1796657357,291,605,3440,Be'er Sheva,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=9000
BE'ER TOVIYYA,"Be'er Tuvia Regional Council, Israel",31.766667,34.71666700000001,באר טוביה,155,באר טוביה,6,61,611,33,143,1,1108,1.1,1.1,NA,1930,310,1,1738362694,53,616,3830,Be'er Toviyya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=155
BE'ER YA'AQOV,"Be'er Ya'akov, Israel",31.943507,34.83904,באר יעקב,2530,באר יעקב,4,43,432,99,133,1,20378,20.3,19.7,NA,1907,160,NA,1850165017,66,455,5220,Be'er Ya'aqov,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2530
BE'ERI,"Be'eri, Israel",31.424513,34.492567,בארי,399,בארי,6,62,622,38,NA,1,1018,1,1,NA,1946,330,15,1516259265,88,651,3430,Be'eri,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=399
BE'EROTAYIM,"Be'erotayim, Israel",32.321039,34.98343,בארותיים,697,בארותיים,4,41,412,16,141,1,1137,1.1,1.1,NA,1949,310,1,1986369200,35,409,5120,Be'erotayim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=697
BEIT JANN,"Beit Jann, Israel",32.965655,35.381268,בית ג'ן,480,בית ג'ן,2,24,243,99,NA,2,11568,NA,NA,11.6,NA,270,NA,2357276326,898,258,1310,Beit Jann,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=480
BEN ZAKKAY,"Ben Zakai, Israel",31.85722299999999,34.727432,בן זכאי,760,בן זכאי,4,44,441,29,143,1,1087,1.1,1.1,NA,1950,310,2,1744464050,30,456,5230,Ben Zakkay,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=760
BENE AYISH,"Bnei Ayish, Israel",31.790235,34.759291,"בני עי""ש",1066,"בני עי""ש",4,44,441,99,143,1,6955,6.9,5.6,NA,1958,180,NA,1774063310,75,453,3830,Bene Ayish,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1066
BENE BERAQ,"Bnei Brak, Israel",32.084932,34.835226,בני ברק,6100,בני ברק,5,52,512,0,122,1,188964,188.9,187.5,NA,1924,140,NA,1845666599,26,501,2300,Bene Beraq,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=6100
BENE DEROR,"Bnei Dror, Israel",32.261795,34.901791,בני דרור,386,בני דרור,4,41,411,18,141,1,1238,1.2,1.2,NA,1946,320,1,1907168542,33,412,5120,Bene Deror,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=386
BENE RE'EM,"Bnei Re'em, Israel",31.769972,34.790463,בני ראם,588,בני ראם,4,44,441,31,143,1,1338,1.3,1.3,NA,1949,310,8,1803363100,64,456,5230,Bene Re'em,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=588
BENE YEHUDA,Bnei Yehuda,32.798262,35.69107,בני יהודה,4015,בני יהודה,2,29,294,71,NA,1,1024,1,0.9,NA,1972,370,13,2648874494,345,219,1270,Bene Yehuda,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4015
BENE ZIYYON,"Bene Beitecha, Beit Dagan, Israel",31.999554,34.827221,בני ציון,418,בני ציון,4,41,411,19,141,1,1412,1.4,1.4,NA,1947,310,10,1878268067,35,401,5120,Bene Ziyyon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=418
BERAKHA,Har Brakha,32.193264,35.264885,ברכה,3710,ברכה,7,72,NA,72,NA,1,2339,2.3,1.9,NA,1983,190,11,2252167766,844,710,4164,Berakha,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3710
BEREKHYA,"Berekhya, Israel",31.66804699999999,34.624296,ברכיה,746,ברכיה,6,61,614,36,NA,1,1210,1.2,1.2,NA,1950,310,1,1645461979,43,633,3830,Berekhya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=746
BET ARIF,"Beit Arif, Israel",31.995352,34.935103,בית עריף,604,בית עריף,4,43,432,25,142,1,1124,1.1,1.1,NA,1951,310,1,1939465589,60,424,5160,Bet Arif,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=604
BET ARYE,Beit Aryeh-Ofarim,32.040059,35.049472,בית אריה,3652,בית אריה,7,74,NA,99,145,1,4842,4.8,4.7,NA,1981,190,NA,2048465998,295,719,4354,Bet Arye,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3652
BET DAGAN,"Beit Dagan, Israel",32.0017816,34.8297087,בית דגן,466,בית דגן,4,43,432,99,133,1,7098,7.1,7,NA,1948,180,NA,1840865644,34,455,5210,Bet Dagan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=466
BET EL,Beit El,31.94159999999999,35.222734,בית אל,3574,בית אל,7,74,NA,99,445,1,6115,6.1,6.1,NA,1977,180,NA,2212164987,853,711,4354,Bet El,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3574
BET EL'AZARI,"Beit Elazari, Israel",31.844717,34.806627,בית אלעזרי,562,בית אלעזרי,4,44,441,28,143,1,1524,1.5,1.5,NA,1948,310,1,1814763910,43,456,5230,Bet El'azari,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=562
BET EZRA,"Beit Ezra, Israel",31.736401999999998,34.657514,בית עזרא,756,בית עזרא,6,61,611,33,143,1,1092,1.1,1.1,NA,1950,310,1,1674262732,44,616,3830,Bet Ezra,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=756
BET HASHITTA,"Beit HaShita, Israel",32.550874,35.43935099999999,בית השיטה,242,בית השיטה,2,23,232,8,NA,1,1223,1.2,1.2,NA,1935,330,15,2414671749,-1,204,1430,Bet HaShitta,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=242
BET HASHMONAY,"Beit Hashmonai, Israel",31.890298,34.917599,בית חשמונאי,1050,בית חשמונאי,4,43,432,30,143,1,2186,2.2,2.2,NA,1972,190,NA,1924064401,102,426,5220,Bet Hashmonay,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1050
BET HILQIYYA,"Beit Hilkia, Israel",31.793001,34.809698,בית חלקיה,2033,בית חלקיה,4,44,441,31,143,1,1156,1.2,1.2,NA,1953,310,8,1822663335,67,456,5230,Bet Hilqiyya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2033
BET HORON,Beit Horon,31.87989,35.124097,בית חורון,3575,בית חורון,7,74,NA,73,445,1,1240,1.2,1.2,NA,1977,370,11,2120864281,635,711,4354,Bet Horon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3575
BET QAMA,"Beit Kama, Israel",31.446566,34.762248,בית קמה,598,בית קמה,6,62,621,41,341,1,1400,1.4,1.4,NA,1949,330,15,1773459523,238,625,3485,Bet Qama,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=598
BET RABBAN,Israel,31.819487,34.729208,בית רבן,848,בית רבן,4,44,441,29,143,1,1145,1.1,1.1,NA,1946,340,NA,1744863615,54,456,3830,Bet Rabban,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=848
BET SHE'AN,"Beit She'an, Israel",32.497103,35.497336,בית שאן,9200,בית שאן,2,23,231,0,NA,1,17587,17.5,17.1,NA,1948,170,NA,2470271150,-134,203,1430,Bet She'an,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=9200
BET SHEMESH,"Bet Shemesh, Israel",31.747041,34.988099,בית שמש,2610,בית שמש,1,11,112,0,444,1,109762,109.6,107.6,NA,1950,140,NA,1990362715,307,102,6140,Bet Shemesh,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2610
BET YEHOSHUA,"Beit Yehoshua, Israel",32.262075,34.865418,בית יהושע,288,בית יהושע,4,41,411,19,141,1,1037,1,1,NA,1938,310,6,1875268523,23,401,5120,Bet Yehoshua,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=288
BET YIZHAQ-SH. HEFER,"Beit Yitzhak-Sha'ar Hefer, Israel",32.33558,34.8895,בית יצחק-שער חפר,326,בית יצחק-שער חפר,4,41,411,16,141,1,2112,2.1,2.1,NA,1940,191,10,1899269340,27,409,5120,Bet Yizhaq-Sh. Hefer,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=326
BET ZAYIT,"Beit Zayit, Israel",31.783058,35.161117,בית זית,710,בית זית,1,11,111,26,444,1,1637,1.6,1.6,NA,1949,310,1,2154163215,604,151,6129,Bet Zayit,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=710
BETAR ILLIT,Betar Illit,31.7010023,35.1119254,ביתר עילית,3780,ביתר עילית,7,76,NA,0,445,1,51636,51.6,51.6,NA,1985,150,NA,2109162265,703,716,4352,Betar Illit,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3780
BI'NE,"Bi'ina, Israel",32.929538,35.27191699999999,בענה,483,בענה,2,24,242,99,NA,2,7993,NA,NA,8,NA,280,NA,2258575937,259,260,1310,Bi'ne,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=483
BINYAMINA-GIV'AT ADA,"Binyamina-Giv'at Ada, Israel",32.517078,34.955096,בנימינה-גבעת עדה*,9800,בנימינה-גבעת עדה*,3,32,324,99,NA,1,15243,15.2,14.7,NA,1903,170,NA,1967871417,36,353,1181,Binyamina-Giv'at Ada,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=9800
BIR EL-MAKSUR,"Bir al-Maksur, Israel",32.777291,35.22057100000001,ביר אל-מכסור,998,ביר אל-מכסור,2,24,241,99,241,2,8903,NA,NA,8.9,NA,280,NA,2211274307,249,261,1340,Bir El-Maksur,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=998
BIR HADAGE,"Bir Hadaj, Israel",31.02316,34.709138,ביר הדאג',1348,ביר הדאג',6,62,623,68,NA,2,5146,NA,NA,5.1,NA,280,NA,1714554846,287,624,3450,Bir Hadage,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1348
BIZZARON,"Bitzaron, Israel",31.7949517,34.7293463,ביצרון,234,ביצרון,6,61,611,33,143,1,1234,1.2,1.2,NA,1935,310,1,1744563380,55,616,3830,Bizzaron,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=234
BU'EINE-NUJEIDAT,"Bu'eine Nujeidat, Israel",32.807711,35.36527,בועיינה-נוג'ידאת,482,בועיינה-נוג'ידאת,2,25,237,99,NA,2,9271,NA,NA,9.3,NA,280,NA,2348274592,215,251,1240,Bu'eine-Nujeidat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=482
BUQ'ATA,Buq'ata,33.2026572,35.7767723,בוקעאתא,4001,בוקעאתא,2,29,292,99,NA,2,6431,NA,NA,6.4,NA,280,NA,2730078972,1097,256,1270,Buq'ata,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4001
BURGETA,"Burgata, Israel",32.325972,34.963848,בורגתה,698,בורגתה,4,41,411,16,141,1,1123,1.1,1.1,NA,1949,310,1,1966969241,28,409,5120,Burgeta,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=698
BUSTAN HAGALIL,"Bustan HaGalil, Israel",32.948636,35.08068799999999,בוסתן הגליל,559,בוסתן הגליל,2,24,246,4,241,1,1198,1.2,1.2,NA,1948,310,10,2080476169,7,201,1330,Bustan HaGalil,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=559
DABURIYYA,"Daburiyya, Israel",32.69412,35.368513,דבורייה,489,דבורייה,2,23,237,99,NA,2,10039,NA,NA,10,NA,270,NA,2351473300,163,251,1420,Daburiyya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=489
DALIYAT AL-KARMEL,"Daliyat al-Karmel, Israel",32.693796,35.055447,דאלית אל-כרמל,494,דאלית אל-כרמל,3,31,311,99,223,2,16998,NA,NA,17,NA,270,NA,2050573325,418,356,1140,Daliyat Al-Karmel,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=494
DEIR AL-ASAD,"Deir al-Asad, Israel",32.93445,35.268394,דייר אל-אסד,490,דייר אל-אסד,2,24,242,99,NA,2,11898,NA,NA,11.9,NA,270,NA,2254376005,467,260,1310,Deir Al-Asad,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=490
DEIR HANNA,"Deir Hanna, Israel",32.862316,35.365253,דייר חנא,492,דייר חנא,2,24,241,99,NA,2,9944,NA,NA,9.9,NA,280,NA,2348075200,226,262,1360,Deir Hanna,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=492
DERIG'AT,"Drijat, Israel",31.301885,35.076793,דריג'את,1349,דריג'את,6,62,623,69,NA,2,1118,NA,NA,1.1,NA,450,NA,2072057882,557,624,3481,Derig'at,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1349
DIMONA,"Dimona, Israel",31.069419,35.033363,דימונה,2200,דימונה,6,62,626,0,NA,1,33452,33.2,30.2,NA,1955,160,NA,2032855316,463,607,3450,Dimona,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2200
DOLEV,"Dolev St, Rakefet, Israel",32.8540254,35.2623902,דולב,3747,דולב,7,74,NA,73,NA,1,1331,1.3,1.3,NA,1983,370,11,2126964818,559,711,4354,Dolev,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3747
EFRAT,Efrat,31.653589,35.149934,אפרת,3650,אפרת,7,76,NA,99,445,1,8658,8.7,8.6,NA,1980,180,NA,2148561889,839,704,4352,Efrat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3650
EILABUN,"Eilabun, Israel",32.837949,35.399996,עיילבון,530,עיילבון,2,22,222,99,NA,2,5541,NA,NA,5.5,NA,280,NA,2379074910,172,251,1240,Eilabun,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=530
EIN MAHEL,"Ein Mahil, Israel",32.724295,35.353369,עין מאהל,532,עין מאהל,2,25,237,99,NA,2,12629,NA,NA,12.6,NA,270,NA,2333773645,404,257,1460,Ein Mahel,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=532
EIN NAQQUBA,"Ein Naqquba, Israel",31.79391,35.11968299999999,עין נקובא,521,עין נקובא,1,11,111,26,444,2,3148,NA,NA,3.1,NA,290,NA,2114463339,618,151,6129,Ein Naqquba,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=521
EIN QINIYYE,Ein Qiniyye,33.2366802,35.7313062,עין קנייא,4502,עין קנייא,2,29,291,99,NA,2,1988,NA,NA,2,NA,450,NA,2685979361,795,256,1270,Ein Qiniyye,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4502
EIN RAFA,"Ein Rafa, Israel",31.790605,35.116514,עין ראפה,514,עין ראפה,1,11,111,26,444,2,1193,NA,NA,1.2,NA,450,NA,2109863306,602,151,6129,Ein Rafa,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=514
